Date,Close,High,Low,Open,Volume
2021/3/30,550.1950073,552.9598064,545.5870089,552.9598064,33099123
2021/3/31,540.9790039,550.1950006,540.9790039,549.2734009,38790886
2021/4/1,554.8031006,554.8031006,547.4303019,551.1167012,43091157
2021/4/7,562.1757813,565.8621798,560.332582,565.8621798,24603109
2021/4/8,564.9406128,564.9406128,555.7246158,558.4894149,23976625
2021/4/9,562.1757813,569.5485784,561.2541816,569.5485784,27303862
2021/4/12,557.5678101,564.9406075,555.7246107,564.0190079,22606128
2021/4/13,557.5678101,564.9406075,556.6462104,556.6462104,25971622
2021/4/14,564.019043,564.019043,552.959846,560.332644,30077913
2021/4/15,570.4702148,570.4702148,559.4110184,564.0190169,33530942
2021/4/16,562.1757813,563.0973809,555.7245838,562.1757813,48507383
2021/4/19,555.7245483,559.4109467,553.8813492,557.5677475,24231637
2021/4/20,554.8031006,554.8031006,548.3519017,551.1167012,34771635
2021/4/21,545.5869751,552.0381724,545.5869751,552.0381724,38458220
2021/4/22,544.6654053,551.116603,544.6654053,549.2734036,33868521
2021/4/23,554.8031006,554.8031006,543.7439026,545.5871022,27754511
2021/4/26,562.1757813,562.1757813,555.7245838,557.567783,30887664
2021/4/27,562.1757813,563.0973809,557.567783,560.332582,26317481
2021/4/28,554.8031006,560.3326996,553.8815008,558.4894999,24024054
2021/4/29,552.9597778,561.2541745,552.9597778,561.2541745,31828333
2021/5/3,541.9006348,550.1950322,541.9006348,548.3518328,41762441
2021/5/4,544.6654053,547.4302043,536.3710082,541.9006063,40273595
2021/5/5,539.1358032,547.4302002,539.1358032,547.4302002,29254785
2021/5/6,540.9790039,543.7438029,534.5278062,543.7438029,30725590
2021/5/7,552.0380859,552.9596854,542.8220912,547.4300886,28075722
2021/5/10,542.8222046,550.1950019,541.9006049,549.2734023,20434079
2021/5/11,526.2335205,534.5279193,525.3119206,533.6063194,59349193
2021/5/12,516.0959473,526.2335462,477.3887512,522.5471466,131741482
2021/5/13,504.1149902,518.8605841,498.5853925,504.1149902,66765627
2021/5/14,513.3309937,517.9389918,508.7229955,512.409394,37533726
2021/5/17,505.9582825,514.2526805,498.5854842,501.3502835,56270958
2021/5/18,527.1550903,528.0766901,511.4878936,518.8606921,43689316
2021/5/19,522.5470581,527.1550569,520.7038586,526.2334571,28908777
2021/5/20,522.5470581,526.2334571,516.0958599,522.5470581,29709287
2021/5/21,528.0767212,531.7631206,523.4687219,527.1551213,27376731
2021/5/24,523.4686279,527.1550267,521.6254285,525.3118273,15629736
2021/5/25,537.2925415,538.2141411,528.0765459,530.8413446,33039911
2021/5/26,539.1358032,541.9006022,535.4494046,540.9790025,18703987
